ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,24994.0
19121,Crypto.Doro,$FP x Coinbase wen?,3149.0
42316,David Marr,$FP x Coinbase wen?,71045.0
63536,His Dudeness,$FP x Coinbase wen?,0.0
40498,jahke,$FP x Coinbase wen?,0.0
30494,Lapsus,$FP x Coinbase wen?,64618.0
60717,OddlyAugmented,$FP x Coinbase wen?,29937.0
5175,Relicz,$FP x Coinbase wen?,0.0
41737,Saltimbanco,$FP x Coinbase wen?,0.0
60427,Semente Cripto,$FP x Coinbase wen?,0.0
8761,Seth Roller,$FP x Coinbase wen?,1377.0
19346,Shugs,$FP x Coinbase wen?,0.0
14992,taylorr,$FP x Coinbase wen?,1153.0
25652,tofu167,$FP x Coinbase wen?,7129.0
64875,17764,FRENEMIES,6340.0
8070,44huntereth,FRENEMIES,0.0
7647,abnormality,FRENEMIES,1602.0
15491,Bcat,FRENEMIES,3702.0
7573,brocninbuck,FRENEMIES,0.0
41681,Celinho,FRENEMIES,209.0
14616,Choyna,FRENEMIES,3625.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,3479.0
7760,cryptomozart,FRENEMIES,4574.0
31922,Dirt&Soul,FRENEMIES,1151.0
67481,Ducktaari,FRENEMIES,0.0
4835,Eben,FRENEMIES,0.0
66402,EINSTEIN,FRENEMIES,0.0
18594,Froomy,FRENEMIES,1606.0
67244,gloGG,FRENEMIES,0.0
65967,i420spit710fire,FRENEMIES,28.0
26084,jguest,FRENEMIES,2465.0
41756,KidQuick,FRENEMIES,7945.0
48523,KoreanAppalachian,FRENEMIES,2531.0
21735,Lavel,FRENEMIES,42898.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,2223.0
61087,marcuswithu,FRENEMIES,18.0
20211,maxfromtheblock,FRENEMIES,5570.0
64470,mikey92557,FRENEMIES,5866.0
67683,MindOverMana,FRENEMIES,7.0
49436,Mr.Nobody,FRENEMIES,0.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,415.0
7852,noobcoin,FRENEMIES,0.0
55958,Rayzo973,FRENEMIES,0.0
30135,Sargent.eth,FRENEMIES,4310.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,8620.0
62963,SmokinToken,FRENEMIES,1111.0
64875,Tugz,FRENEMIES,6340.0
11169,uk3,FRENEMIES,5404.0
15953,What do you mean?,FRENEMIES,560.0
42192,xyz_6969,FRENEMIES,486.0
33355,Zaampaarstin,FRENEMIES,1329.0
