ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,18721.0
19121,Crypto.Doro,$FP x Coinbase wen?,1597.0
42316,David Marr,$FP x Coinbase wen?,54677.0
63536,His Dudeness,$FP x Coinbase wen?,6113.0
40498,jahke,$FP x Coinbase wen?,8355.0
30494,Lapsus,$FP x Coinbase wen?,24415.0
60717,OddlyAugmented,$FP x Coinbase wen?,55835.0
5175,Relicz,$FP x Coinbase wen?,2743.0
41737,Saltimbanco,$FP x Coinbase wen?,0.0
60427,Semente Cripto,$FP x Coinbase wen?,50.0
8761,Seth Roller,$FP x Coinbase wen?,807.0
19346,Shugs,$FP x Coinbase wen?,2330.0
14992,taylorr,$FP x Coinbase wen?,3994.0
25652,tofu167,$FP x Coinbase wen?,7093.0
64875,17764,FRENEMIES,2164.0
8070,44huntereth,FRENEMIES,68.0
7647,abnormality,FRENEMIES,591.0
15491,Bcat,FRENEMIES,0.0
7573,brocninbuck,FRENEMIES,0.0
41681,Celinho,FRENEMIES,153.0
14616,Choyna,FRENEMIES,0.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,1599.0
7760,cryptomozart,FRENEMIES,0.0
31922,Dirt&Soul,FRENEMIES,440.0
67481,Ducktaari,FRENEMIES,5667.0
4835,Eben,FRENEMIES,1726.0
66402,EINSTEIN,FRENEMIES,145.0
18594,Froomy,FRENEMIES,4755.0
67244,gloGG,FRENEMIES,320.0
65967,i420spit710fire,FRENEMIES,29.0
26084,jguest,FRENEMIES,1328.0
41756,KidQuick,FRENEMIES,1980.0
48523,KoreanAppalachian,FRENEMIES,1292.0
21735,Lavel,FRENEMIES,45676.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,0.0
61087,marcuswithu,FRENEMIES,238.0
20211,maxfromtheblock,FRENEMIES,7132.0
64470,mikey92557,FRENEMIES,2970.0
67683,MindOverMana,FRENEMIES,0.0
49436,Mr.Nobody,FRENEMIES,0.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,0.0
7852,noobcoin,FRENEMIES,0.0
55958,Rayzo973,FRENEMIES,3924.0
30135,Sargent.eth,FRENEMIES,0.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,3500.0
62963,SmokinToken,FRENEMIES,2525.0
64875,Tugz,FRENEMIES,2164.0
11169,uk3,FRENEMIES,7812.0
15953,What do you mean?,FRENEMIES,1391.0
42192,xyz_6969,FRENEMIES,342.0
33355,Zaampaarstin,FRENEMIES,4584.0
