ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,36446.0
19121,Crypto.Doro,$FP x Coinbase wen?,3307.0
42316,David Marr,$FP x Coinbase wen?,46304.0
63536,His Dudeness,$FP x Coinbase wen?,26500.0
40498,jahke,$FP x Coinbase wen?,17894.0
30494,Lapsus,$FP x Coinbase wen?,37475.0
60717,OddlyAugmented,$FP x Coinbase wen?,34598.0
5175,Relicz,$FP x Coinbase wen?,14023.0
41737,Saltimbanco,$FP x Coinbase wen?,0.0
60427,Semente Cripto,$FP x Coinbase wen?,29.0
8761,Seth Roller,$FP x Coinbase wen?,1829.0
19346,Shugs,$FP x Coinbase wen?,5257.0
14992,taylorr,$FP x Coinbase wen?,19465.0
25652,tofu167,$FP x Coinbase wen?,13887.0
64875,17764,FRENEMIES,9666.0
8070,44huntereth,FRENEMIES,1190.0
7647,abnormality,FRENEMIES,2057.0
15491,Bcat,FRENEMIES,2759.0
7573,brocninbuck,FRENEMIES,11596.0
41681,Celinho,FRENEMIES,178.0
14616,Choyna,FRENEMIES,5843.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,8393.0
7760,cryptomozart,FRENEMIES,22994.0
31922,Dirt&Soul,FRENEMIES,552.0
67481,Ducktaari,FRENEMIES,5814.0
4835,Eben,FRENEMIES,0.0
66402,EINSTEIN,FRENEMIES,547.0
18594,Froomy,FRENEMIES,64177.0
67244,gloGG,FRENEMIES,2419.0
65967,i420spit710fire,FRENEMIES,5.0
26084,jguest,FRENEMIES,6134.0
41756,KidQuick,FRENEMIES,12297.0
48523,KoreanAppalachian,FRENEMIES,114.0
21735,Lavel,FRENEMIES,14893.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,4405.0
61087,marcuswithu,FRENEMIES,157.0
20211,maxfromtheblock,FRENEMIES,4913.0
64470,mikey92557,FRENEMIES,4236.0
67683,MindOverMana,FRENEMIES,0.0
49436,Mr.Nobody,FRENEMIES,16055.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,417.0
7852,noobcoin,FRENEMIES,338.0
55958,Rayzo973,FRENEMIES,19194.0
30135,Sargent.eth,FRENEMIES,3054.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,7736.0
62963,SmokinToken,FRENEMIES,0.0
64875,Tugz,FRENEMIES,9666.0
11169,uk3,FRENEMIES,11780.0
15953,What do you mean?,FRENEMIES,4609.0
42192,xyz_6969,FRENEMIES,196.0
33355,Zaampaarstin,FRENEMIES,1292.0
