ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,32963.0
19121,Crypto.Doro,$FP x Coinbase wen?,5845.0
42316,David Marr,$FP x Coinbase wen?,45217.0
63536,His Dudeness,$FP x Coinbase wen?,5686.0
40498,jahke,$FP x Coinbase wen?,30396.0
30494,Lapsus,$FP x Coinbase wen?,101394.0
60717,OddlyAugmented,$FP x Coinbase wen?,32684.0
5175,Relicz,$FP x Coinbase wen?,29384.0
41737,Saltimbanco,$FP x Coinbase wen?,0.0
60427,Semente Cripto,$FP x Coinbase wen?,28.0
8761,Seth Roller,$FP x Coinbase wen?,1662.0
19346,Shugs,$FP x Coinbase wen?,5981.0
14992,taylorr,$FP x Coinbase wen?,0.0
25652,tofu167,$FP x Coinbase wen?,2204.0
64875,17764,FRENEMIES,6318.0
8070,44huntereth,FRENEMIES,55.0
7647,abnormality,FRENEMIES,0.0
15491,Bcat,FRENEMIES,4305.0
7573,brocninbuck,FRENEMIES,2193.0
41681,Celinho,FRENEMIES,0.0
14616,Choyna,FRENEMIES,11548.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,3286.0
7760,cryptomozart,FRENEMIES,8257.0
31922,Dirt&Soul,FRENEMIES,1282.0
67481,Ducktaari,FRENEMIES,6060.0
4835,Eben,FRENEMIES,2311.0
66402,EINSTEIN,FRENEMIES,1564.0
18594,Froomy,FRENEMIES,114654.0
67244,gloGG,FRENEMIES,1004.0
65967,i420spit710fire,FRENEMIES,0.0
26084,jguest,FRENEMIES,1212.0
41756,KidQuick,FRENEMIES,6683.0
48523,KoreanAppalachian,FRENEMIES,16129.0
21735,Lavel,FRENEMIES,27681.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,8375.0
61087,marcuswithu,FRENEMIES,101.0
20211,maxfromtheblock,FRENEMIES,8402.0
64470,mikey92557,FRENEMIES,2460.0
67683,MindOverMana,FRENEMIES,5.0
49436,Mr.Nobody,FRENEMIES,11129.0
25989,Mun1a,FRENEMIES,1630.0
35268,Nikza,FRENEMIES,974.0
7852,noobcoin,FRENEMIES,255.0
55958,Rayzo973,FRENEMIES,3585.0
30135,Sargent.eth,FRENEMIES,0.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,8092.0
62963,SmokinToken,FRENEMIES,1620.0
64875,Tugz,FRENEMIES,6318.0
11169,uk3,FRENEMIES,26105.0
15953,What do you mean?,FRENEMIES,5586.0
42192,xyz_6969,FRENEMIES,293.0
33355,Zaampaarstin,FRENEMIES,3646.0
