ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,24094.0
19121,Crypto.Doro,$FP x Coinbase wen?,6387.0
42316,David Marr,$FP x Coinbase wen?,48110.0
63536,His Dudeness,$FP x Coinbase wen?,26225.0
40498,jahke,$FP x Coinbase wen?,25516.0
30494,Lapsus,$FP x Coinbase wen?,95442.0
60717,OddlyAugmented,$FP x Coinbase wen?,36484.0
5175,Relicz,$FP x Coinbase wen?,19174.0
41737,Saltimbanco,$FP x Coinbase wen?,1350.0
60427,Semente Cripto,$FP x Coinbase wen?,92.0
8761,Seth Roller,$FP x Coinbase wen?,1309.0
19346,Shugs,$FP x Coinbase wen?,2412.0
14992,taylorr,$FP x Coinbase wen?,18258.0
25652,tofu167,$FP x Coinbase wen?,14616.0
64875,17764,FRENEMIES,2110.0
8070,44huntereth,FRENEMIES,0.0
7647,abnormality,FRENEMIES,1278.0
15491,Bcat,FRENEMIES,2138.0
7573,brocninbuck,FRENEMIES,724.0
41681,Celinho,FRENEMIES,18.0
14616,Choyna,FRENEMIES,4322.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,7407.0
7760,cryptomozart,FRENEMIES,12311.0
31922,Dirt&Soul,FRENEMIES,731.0
67481,Ducktaari,FRENEMIES,5215.0
4835,Eben,FRENEMIES,0.0
66402,EINSTEIN,FRENEMIES,0.0
18594,Froomy,FRENEMIES,83204.0
67244,gloGG,FRENEMIES,118.0
65967,i420spit710fire,FRENEMIES,21.0
26084,jguest,FRENEMIES,6265.0
41756,KidQuick,FRENEMIES,2090.0
48523,KoreanAppalachian,FRENEMIES,16647.0
21735,Lavel,FRENEMIES,36918.0
13689,Lite_God,FRENEMIES,283.0
15161,LuckyShot27,FRENEMIES,5912.0
61087,marcuswithu,FRENEMIES,130.0
20211,maxfromtheblock,FRENEMIES,1796.0
64470,mikey92557,FRENEMIES,1270.0
67683,MindOverMana,FRENEMIES,34.0
49436,Mr.Nobody,FRENEMIES,26876.0
25989,Mun1a,FRENEMIES,1741.0
35268,Nikza,FRENEMIES,0.0
7852,noobcoin,FRENEMIES,115.0
55958,Rayzo973,FRENEMIES,9234.0
30135,Sargent.eth,FRENEMIES,6282.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,13400.0
62963,SmokinToken,FRENEMIES,869.0
64875,Tugz,FRENEMIES,2110.0
11169,uk3,FRENEMIES,11409.0
15953,What do you mean?,FRENEMIES,9239.0
42192,xyz_6969,FRENEMIES,469.0
33355,Zaampaarstin,FRENEMIES,4353.0
