ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,16743.0
19121,Crypto.Doro,$FP x Coinbase wen?,1969.0
42316,David Marr,$FP x Coinbase wen?,53333.0
63536,His Dudeness,$FP x Coinbase wen?,9532.0
40498,jahke,$FP x Coinbase wen?,27575.0
30494,Lapsus,$FP x Coinbase wen?,77509.0
60717,OddlyAugmented,$FP x Coinbase wen?,47461.0
5175,Relicz,$FP x Coinbase wen?,4977.0
41737,Saltimbanco,$FP x Coinbase wen?,133.0
60427,Semente Cripto,$FP x Coinbase wen?,54.0
8761,Seth Roller,$FP x Coinbase wen?,1454.0
19346,Shugs,$FP x Coinbase wen?,4340.0
14992,taylorr,$FP x Coinbase wen?,3340.0
25652,tofu167,$FP x Coinbase wen?,14158.0
64875,17764,FRENEMIES,0.0
8070,44huntereth,FRENEMIES,0.0
7647,abnormality,FRENEMIES,1255.0
15491,Bcat,FRENEMIES,3516.0
7573,brocninbuck,FRENEMIES,2180.0
41681,Celinho,FRENEMIES,0.0
14616,Choyna,FRENEMIES,2206.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,1644.0
7760,cryptomozart,FRENEMIES,8893.0
31922,Dirt&Soul,FRENEMIES,1027.0
67481,Ducktaari,FRENEMIES,6187.0
4835,Eben,FRENEMIES,0.0
66402,EINSTEIN,FRENEMIES,703.0
18594,Froomy,FRENEMIES,10232.0
67244,gloGG,FRENEMIES,244.0
65967,i420spit710fire,FRENEMIES,354.0
26084,jguest,FRENEMIES,10464.0
41756,KidQuick,FRENEMIES,10688.0
48523,KoreanAppalachian,FRENEMIES,6960.0
21735,Lavel,FRENEMIES,39007.0
13689,Lite_God,FRENEMIES,323.0
15161,LuckyShot27,FRENEMIES,11488.0
61087,marcuswithu,FRENEMIES,887.0
20211,maxfromtheblock,FRENEMIES,1805.0
64470,mikey92557,FRENEMIES,2831.0
67683,MindOverMana,FRENEMIES,0.0
49436,Mr.Nobody,FRENEMIES,24620.0
25989,Mun1a,FRENEMIES,3394.0
35268,Nikza,FRENEMIES,717.0
7852,noobcoin,FRENEMIES,0.0
55958,Rayzo973,FRENEMIES,3783.0
30135,Sargent.eth,FRENEMIES,4471.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,12663.0
62963,SmokinToken,FRENEMIES,2218.0
64875,Tugz,FRENEMIES,0.0
11169,uk3,FRENEMIES,0.0
15953,What do you mean?,FRENEMIES,679.0
42192,xyz_6969,FRENEMIES,1373.0
33355,Zaampaarstin,FRENEMIES,1028.0
