ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,18050.0
19121,Crypto.Doro,$FP x Coinbase wen?,3205.0
42316,David Marr,$FP x Coinbase wen?,33771.0
63536,His Dudeness,$FP x Coinbase wen?,18492.0
40498,jahke,$FP x Coinbase wen?,3483.0
30494,Lapsus,$FP x Coinbase wen?,131440.0
60717,OddlyAugmented,$FP x Coinbase wen?,41244.0
5175,Relicz,$FP x Coinbase wen?,14649.0
41737,Saltimbanco,$FP x Coinbase wen?,268.0
60427,Semente Cripto,$FP x Coinbase wen?,106.0
8761,Seth Roller,$FP x Coinbase wen?,1771.0
19346,Shugs,$FP x Coinbase wen?,2254.0
14992,taylorr,$FP x Coinbase wen?,3761.0
25652,tofu167,$FP x Coinbase wen?,6989.0
64875,17764,FRENEMIES,0.0
8070,44huntereth,FRENEMIES,0.0
7647,abnormality,FRENEMIES,0.0
15491,Bcat,FRENEMIES,0.0
7573,brocninbuck,FRENEMIES,0.0
41681,Celinho,FRENEMIES,0.0
14616,Choyna,FRENEMIES,1264.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,0.0
7760,cryptomozart,FRENEMIES,8829.0
31922,Dirt&Soul,FRENEMIES,575.0
67481,Ducktaari,FRENEMIES,4813.0
4835,Eben,FRENEMIES,1924.0
66402,EINSTEIN,FRENEMIES,2402.0
18594,Froomy,FRENEMIES,15061.0
67244,gloGG,FRENEMIES,2702.0
65967,i420spit710fire,FRENEMIES,18.0
26084,jguest,FRENEMIES,3716.0
41756,KidQuick,FRENEMIES,4067.0
48523,KoreanAppalachian,FRENEMIES,1305.0
21735,Lavel,FRENEMIES,50711.0
13689,Lite_God,FRENEMIES,313.0
15161,LuckyShot27,FRENEMIES,4258.0
61087,marcuswithu,FRENEMIES,933.0
20211,maxfromtheblock,FRENEMIES,0.0
64470,mikey92557,FRENEMIES,1622.0
67683,MindOverMana,FRENEMIES,24.0
49436,Mr.Nobody,FRENEMIES,1694.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,0.0
7852,noobcoin,FRENEMIES,0.0
55958,Rayzo973,FRENEMIES,9920.0
30135,Sargent.eth,FRENEMIES,2865.0
19428,selwheezie,FRENEMIES,1692.0
28653,Sennas,FRENEMIES,18118.0
62963,SmokinToken,FRENEMIES,2334.0
64875,Tugz,FRENEMIES,0.0
11169,uk3,FRENEMIES,0.0
15953,What do you mean?,FRENEMIES,204.0
42192,xyz_6969,FRENEMIES,617.0
33355,Zaampaarstin,FRENEMIES,4236.0
