ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,25281.0
19121,Crypto.Doro,$FP x Coinbase wen?,314.0
42316,David Marr,$FP x Coinbase wen?,37253.0
63536,His Dudeness,$FP x Coinbase wen?,12773.0
40498,jahke,$FP x Coinbase wen?,27922.0
30494,Lapsus,$FP x Coinbase wen?,51963.0
60717,OddlyAugmented,$FP x Coinbase wen?,25734.0
5175,Relicz,$FP x Coinbase wen?,13900.0
41737,Saltimbanco,$FP x Coinbase wen?,0.0
60427,Semente Cripto,$FP x Coinbase wen?,162.0
8761,Seth Roller,$FP x Coinbase wen?,3168.0
19346,Shugs,$FP x Coinbase wen?,3803.0
14992,taylorr,$FP x Coinbase wen?,7871.0
25652,tofu167,$FP x Coinbase wen?,15578.0
64875,17764,FRENEMIES,2178.0
8070,44huntereth,FRENEMIES,8.0
7647,abnormality,FRENEMIES,2280.0
15491,Bcat,FRENEMIES,2750.0
7573,brocninbuck,FRENEMIES,400.0
41681,Celinho,FRENEMIES,157.0
14616,Choyna,FRENEMIES,9562.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,3543.0
7760,cryptomozart,FRENEMIES,16590.0
31922,Dirt&Soul,FRENEMIES,1487.0
67481,Ducktaari,FRENEMIES,7833.0
4835,Eben,FRENEMIES,1777.0
66402,EINSTEIN,FRENEMIES,1797.0
18594,Froomy,FRENEMIES,111913.0
67244,gloGG,FRENEMIES,2174.0
65967,i420spit710fire,FRENEMIES,283.0
26084,jguest,FRENEMIES,5076.0
41756,KidQuick,FRENEMIES,4165.0
48523,KoreanAppalachian,FRENEMIES,12861.0
21735,Lavel,FRENEMIES,21388.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,2199.0
61087,marcuswithu,FRENEMIES,130.0
20211,maxfromtheblock,FRENEMIES,2435.0
64470,mikey92557,FRENEMIES,2431.0
67683,MindOverMana,FRENEMIES,0.0
49436,Mr.Nobody,FRENEMIES,27065.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,1531.0
7852,noobcoin,FRENEMIES,167.0
55958,Rayzo973,FRENEMIES,3045.0
30135,Sargent.eth,FRENEMIES,1487.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,794.0
62963,SmokinToken,FRENEMIES,3104.0
64875,Tugz,FRENEMIES,2178.0
11169,uk3,FRENEMIES,8712.0
15953,What do you mean?,FRENEMIES,529.0
42192,xyz_6969,FRENEMIES,1895.0
33355,Zaampaarstin,FRENEMIES,0.0
