ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,22350.0
19121,Crypto.Doro,$FP x Coinbase wen?,1451.0
42316,David Marr,$FP x Coinbase wen?,33954.0
63536,His Dudeness,$FP x Coinbase wen?,11555.0
40498,jahke,$FP x Coinbase wen?,4774.0
30494,Lapsus,$FP x Coinbase wen?,53409.0
60717,OddlyAugmented,$FP x Coinbase wen?,19828.0
5175,Relicz,$FP x Coinbase wen?,26454.0
41737,Saltimbanco,$FP x Coinbase wen?,0.0
60427,Semente Cripto,$FP x Coinbase wen?,88.0
8761,Seth Roller,$FP x Coinbase wen?,130.0
19346,Shugs,$FP x Coinbase wen?,1129.0
14992,taylorr,$FP x Coinbase wen?,3709.0
25652,tofu167,$FP x Coinbase wen?,5280.0
64875,17764,FRENEMIES,2298.0
8070,44huntereth,FRENEMIES,0.0
7647,abnormality,FRENEMIES,1471.0
15491,Bcat,FRENEMIES,0.0
7573,brocninbuck,FRENEMIES,0.0
41681,Celinho,FRENEMIES,0.0
14616,Choyna,FRENEMIES,651.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,1776.0
7760,cryptomozart,FRENEMIES,34056.0
31922,Dirt&Soul,FRENEMIES,2071.0
67481,Ducktaari,FRENEMIES,11388.0
4835,Eben,FRENEMIES,0.0
66402,EINSTEIN,FRENEMIES,1101.0
18594,Froomy,FRENEMIES,5567.0
67244,gloGG,FRENEMIES,82.0
65967,i420spit710fire,FRENEMIES,30.0
26084,jguest,FRENEMIES,0.0
41756,KidQuick,FRENEMIES,2231.0
48523,KoreanAppalachian,FRENEMIES,10834.0
21735,Lavel,FRENEMIES,43222.0
13689,Lite_God,FRENEMIES,322.0
15161,LuckyShot27,FRENEMIES,2229.0
61087,marcuswithu,FRENEMIES,0.0
20211,maxfromtheblock,FRENEMIES,5712.0
64470,mikey92557,FRENEMIES,3709.0
67683,MindOverMana,FRENEMIES,0.0
49436,Mr.Nobody,FRENEMIES,0.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,1024.0
7852,noobcoin,FRENEMIES,0.0
55958,Rayzo973,FRENEMIES,3669.0
30135,Sargent.eth,FRENEMIES,3199.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,25235.0
62963,SmokinToken,FRENEMIES,0.0
64875,Tugz,FRENEMIES,2298.0
11169,uk3,FRENEMIES,2749.0
15953,What do you mean?,FRENEMIES,3218.0
42192,xyz_6969,FRENEMIES,1258.0
33355,Zaampaarstin,FRENEMIES,6216.0
