ID,Name,Team,Bonk Points Won
33566,bludmoneyy,$FP x Coinbase wen?,14532.0
19121,Crypto.Doro,$FP x Coinbase wen?,863.0
42316,David Marr,$FP x Coinbase wen?,25187.0
63536,His Dudeness,$FP x Coinbase wen?,7773.0
40498,jahke,$FP x Coinbase wen?,29298.0
30494,Lapsus,$FP x Coinbase wen?,167090.0
60717,OddlyAugmented,$FP x Coinbase wen?,56471.0
5175,Relicz,$FP x Coinbase wen?,5128.0
41737,Saltimbanco,$FP x Coinbase wen?,0.0
60427,Semente Cripto,$FP x Coinbase wen?,98.0
8761,Seth Roller,$FP x Coinbase wen?,318.0
19346,Shugs,$FP x Coinbase wen?,1103.0
14992,taylorr,$FP x Coinbase wen?,5844.0
25652,tofu167,$FP x Coinbase wen?,7287.0
64875,17764,FRENEMIES,2140.0
8070,44huntereth,FRENEMIES,0.0
7647,abnormality,FRENEMIES,0.0
15491,Bcat,FRENEMIES,2741.0
7573,brocninbuck,FRENEMIES,0.0
41681,Celinho,FRENEMIES,0.0
14616,Choyna,FRENEMIES,3772.0
7826,chuck,FRENEMIES,0.0
15510,Cincinnatus,FRENEMIES,3446.0
7760,cryptomozart,FRENEMIES,7336.0
31922,Dirt&Soul,FRENEMIES,1283.0
67481,Ducktaari,FRENEMIES,4029.0
4835,Eben,FRENEMIES,0.0
66402,EINSTEIN,FRENEMIES,63.0
18594,Froomy,FRENEMIES,5459.0
67244,gloGG,FRENEMIES,605.0
65967,i420spit710fire,FRENEMIES,37.0
26084,jguest,FRENEMIES,1316.0
41756,KidQuick,FRENEMIES,12321.0
48523,KoreanAppalachian,FRENEMIES,1264.0
21735,Lavel,FRENEMIES,58883.0
13689,Lite_God,FRENEMIES,0.0
15161,LuckyShot27,FRENEMIES,20614.0
61087,marcuswithu,FRENEMIES,738.0
20211,maxfromtheblock,FRENEMIES,0.0
64470,mikey92557,FRENEMIES,3880.0
67683,MindOverMana,FRENEMIES,0.0
49436,Mr.Nobody,FRENEMIES,0.0
25989,Mun1a,FRENEMIES,0.0
35268,Nikza,FRENEMIES,583.0
7852,noobcoin,FRENEMIES,0.0
55958,Rayzo973,FRENEMIES,7263.0
30135,Sargent.eth,FRENEMIES,1537.0
19428,selwheezie,FRENEMIES,0.0
28653,Sennas,FRENEMIES,11017.0
62963,SmokinToken,FRENEMIES,0.0
64875,Tugz,FRENEMIES,2140.0
11169,uk3,FRENEMIES,2634.0
15953,What do you mean?,FRENEMIES,885.0
42192,xyz_6969,FRENEMIES,0.0
33355,Zaampaarstin,FRENEMIES,3063.0
